armed,age,gender,race,state,mentalillness
gun,22,M,W,MT,0
toy weapon,63,M,W,CO,1
,31,M,H,NM,0
gun,25,M,H,CA,0
gun,57,M,W,SC,0
gun,32,M,B,MD,0
knife,42,M,B,CA,0
toy weapon,52,M,W,TN,0
undetermined,25,M,H,CA,0
gun,25,M,W,GA,0
hammer,31,M,H,CA,0
toy weapon,39,M,B,CA,0
unknown weapon,16,M,B,PA,0
unarmed,24,M,B,MN,0
Taser,32,M,W,NC,0
,25,M,W,GA,0
,28,M,W,TX,0
gun,28,M,B,FL,1
gun,21,M,B,SC,0
,30,M,B,TX,0
unarmed,58,M,W,GA,0
gun,47,M,W,NJ,1
gun,41,M,W,TX,0
unknown weapon,25,M,B,FL,0
gun,44,M,B,MI,0
gun,34,M,B,FL,0
knife,27,M,B,FL,0
knife,34,M,B,DC,0
unarmed,29,M,B,CA,1
gun,39,M,W,GA,1
gun,50,M,,CA,1
unarmed,24,M,W,OK,0
knife,47,M,W,CA,1
gun,45,M,W,NV,0
gun,28,M,H,CO,0
gun,50,M,W,OH,0
knife,49,M,H,TX,0
toy weapon,45,M,W,MN,0
gun,24,M,B,NJ,0
toy weapon,32,M,W,NV,1
knife,23,M,W,MO,0
gun,52,M,W,AZ,0
gun,37,F,W,MO,0
unarmed,26,M,W,CA,0
gun,58,M,W,MO,0
baseball bat and fireplace poker,50,M,W,TX,0
gun,22,M,W,OH,0
gun,53,M,W,MO,0
gun,69,M,H,AZ,1
gun,23,M,H,CA,0
gun,29,M,W,NE,0
,25,M,A,CO,0
gun,18,M,B,GA,0
undetermined,31,M,H,TX,0
gun,23,M,W,ME,0
gun,18,M,H,CA,0
gun,35,M,H,CO,0
gun,27,F,O,CA,0
gun,28,M,O,CA,0
knife,26,M,B,CA,0
gun,32,M,H,TX,0
gun,36,M,H,NM,0
gun,66,M,W,NE,0
gun,21,M,B,PA,0
metal stick,47,M,W,AZ,0
gun,24,M,W,TX,0
gun,60,M,W,WI,0
gun,61,F,W,MO,0
gun,38,M,H,CA,0
straight edge razor,51,M,W,FL,0
gun,35,M,W,WA,0
gun,46,M,B,OH,1
knife,48,M,W,WY,1
unarmed,36,M,B,NY,0
gun,33,M,B,OH,0
gun,66,M,W,KY,0
gun,51,M,,OK,1
gun,34,M,W,IN,0
gun,55,M,B,SC,0
knife,54,M,W,CA,0
gun,,M,,CA,0
unarmed,36,M,W,AZ,0
knife,25,M,B,IN,1
gun and knife,24,M,B,TN,0
gun,28,M,B,CA,0
Taser,36,M,W,OK,0
gun,20,M,W,PA,1
knife,49,M,H,CA,0
unknown weapon,,M,,CO,0
gun,51,F,W,TX,1
ax,21,M,W,TX,1
knife,30,M,O,WA,0
gun,32,M,H,CO,0
gun,33,M,B,LA,0
undetermined,56,M,W,TN,0
gun,48,F,W,NV,1
knife,39,M,A,CA,0
undetermined,19,M,H,CA,0
gun,45,M,H,NV,0
gun,33,M,W,WV,0
knife,52,M,W,MD,1
,51,M,B,NC,0
knife,,M,W,CA,1
machete,25,M,W,OH,1
gun,24,M,W,CA,0
gun,22,F,W,OH,0
,32,M,W,TN,0
toy weapon,58,M,H,NM,1
gun,24,M,B,VA,0
undetermined,26,M,H,CA,1
gun,30,M,B,CA,0
gun,31,M,H,TX,1
